Employee_ID,Department_ID,Role_ID,Education_ID,Age,Job_Tenure,Distance_From_Home,Training_Hours,Performance_Rating,Last_Promotion_Year,Years_Since_Promotion,Work_Life_Balance,Job_Satisfaction,Exit_Interview_Score,Attrition_Risk_Score,Attrition_Flag,Salary_Band,Tenure_Bucket,Age_Group,Distance_Band,Promo_Gap_Bucket,Risk_Segment,Performance_Category,Satisfaction_Category,WLB_Category,Exit_Score_Category,Gender_Clean,Marital_Status
501,5,4,2,40,8,15,199,5,2019,5,4,1,,2.48,0,Band 3 – Mid-High,6–10 yrs,36–45,Medium (11–25 km),3–5 yrs,Medium Risk,Outstanding,Very Low,Good,N/A (Still Employed),Male,Divorced
502,3,1,3,29,20,8,79,1,2023,1,4,3,,2.466,0,Band 4 – High,11–20 yrs,26–35,Near (≤10 km),0–2 yrs,Medium Risk,Needs Improvement,Neutral,Good,N/A (Still Employed),Non-Binary / Other,Married
503,1,4,2,28,3,9,31,1,2017,7,2,2,1.0,3.568,0,Band 1 – Low,3–5 yrs,26–35,Near (≤10 km),6–8 yrs,High Risk,Needs Improvement,Low,Poor,High Dissatisfaction,Female,Married
504,2,5,2,53,2,26,29,4,2018,6,5,4,,1.602,0,Band 1 – Low,0–2 yrs,46–55,Far (26–50 km),6–8 yrs,Low Risk,Good,High,Excellent,N/A (Still Employed),Male,Single
505,1,5,1,34,5,3,28,5,2015,9,4,1,3.0,2.656,1,Band 2 – Mid-Low,3–5 yrs,26–35,Near (≤10 km),9–12 yrs,Medium Risk,Outstanding,Very Low,Good,Moderate Dissatisfaction,Female,Married
506,5,1,3,60,12,18,139,1,2015,9,2,2,,3.686,0,Band 2 – Mid-Low,11–20 yrs,55+,Medium (11–25 km),9–12 yrs,High Risk,Needs Improvement,Low,Poor,N/A (Still Employed),Male,Married
507,3,4,1,34,16,13,194,1,2019,5,2,5,,2.576,0,Band 3 – Mid-High,11–20 yrs,26–35,Medium (11–25 km),3–5 yrs,Medium Risk,Needs Improvement,Very High,Poor,N/A (Still Employed),Non-Binary / Other,Divorced
508,2,1,3,38,10,10,190,2,2024,0,4,2,,2.52,0,Band 2 – Mid-Low,6–10 yrs,36–45,Near (≤10 km),0–2 yrs,Medium Risk,Below Average,Low,Good,N/A (Still Employed),Male,Divorced
509,4,1,3,55,7,28,197,3,2018,6,5,3,,2.106,0,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),6–8 yrs,Low Risk,Average,Neutral,Excellent,N/A (Still Employed),Non-Binary / Other,Single
510,4,3,2,34,5,2,116,3,2023,1,1,1,,3.404,0,Band 1 – Low,3–5 yrs,26–35,Near (≤10 km),0–2 yrs,High Risk,Average,Very Low,Very Poor,N/A (Still Employed),Female,Married
511,2,5,2,44,13,40,15,2,2012,12,5,4,2.0,2.33,1,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,Low Risk,Below Average,High,Excellent,High Dissatisfaction,Non-Binary / Other,Divorced
512,4,4,3,48,7,13,13,1,2022,2,3,2,,3.076,0,Band 1 – Low,6–10 yrs,46–55,Medium (11–25 km),0–2 yrs,High Risk,Needs Improvement,Low,Fair,N/A (Still Employed),Female,Divorced
513,5,5,2,40,2,6,200,1,2011,13,2,2,,3.862,0,Band 1 – Low,0–2 yrs,36–45,Near (≤10 km),12+ yrs,High Risk,Needs Improvement,Low,Poor,N/A (Still Employed),Female,Single
514,5,3,1,32,8,4,148,4,2017,7,2,2,,2.958,0,Band 2 – Mid-Low,6–10 yrs,26–35,Near (≤10 km),6–8 yrs,High Risk,Good,Low,Poor,N/A (Still Employed),Male,Single
515,5,2,3,24,20,25,164,3,2016,8,4,2,5.0,2.75,1,Band 4 – High,11–20 yrs,18–25,Medium (11–25 km),6–8 yrs,Medium Risk,Average,Low,Good,Low Dissatisfaction,Male,Divorced
516,2,5,3,57,15,27,48,2,2020,4,1,4,,2.904,0,Band 3 – Mid-High,11–20 yrs,55+,Far (26–50 km),3–5 yrs,Medium Risk,Below Average,High,Very Poor,N/A (Still Employed),Male,Married
517,1,3,3,53,11,34,34,4,2016,8,1,2,,3.318,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,High Risk,Good,Low,Very Poor,N/A (Still Employed),Female,Single
518,1,6,2,35,5,20,198,1,2023,1,1,2,,3.54,0,Band 1 – Low,3–5 yrs,26–35,Medium (11–25 km),0–2 yrs,High Risk,Needs Improvement,Low,Very Poor,N/A (Still Employed),Female,Married
519,3,5,2,52,9,45,160,4,2011,13,4,1,,3.14,0,Band 3 – Mid-High,6–10 yrs,46–55,Far (26–50 km),12+ yrs,High Risk,Good,Very Low,Good,N/A (Still Employed),Female,Single
520,1,4,3,43,11,41,110,1,2019,5,5,3,,2.482,0,Band 2 – Mid-Low,11–20 yrs,36–45,Far (26–50 km),3–5 yrs,Medium Risk,Needs Improvement,Neutral,Excellent,N/A (Still Employed),Male,Single
521,1,3,1,37,2,15,59,4,2011,13,4,2,,2.78,0,Band 1 – Low,0–2 yrs,36–45,Medium (11–25 km),12+ yrs,Medium Risk,Good,Low,Good,N/A (Still Employed),Female,Married
522,3,2,1,22,17,15,165,1,2012,12,4,1,,3.63,0,Band 3 – Mid-High,11–20 yrs,18–25,Medium (11–25 km),9–12 yrs,High Risk,Needs Improvement,Very Low,Good,N/A (Still Employed),Male,Single
523,6,5,3,22,14,22,89,4,2022,2,1,5,,2.094,0,Band 4 – High,11–20 yrs,18–25,Medium (11–25 km),0–2 yrs,Low Risk,Good,Very High,Very Poor,N/A (Still Employed),Female,Married
524,6,3,2,27,10,28,92,1,2018,6,4,4,,2.456,0,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),6–8 yrs,Medium Risk,Needs Improvement,High,Good,N/A (Still Employed),Male,Divorced
525,2,2,3,29,1,31,118,2,2014,10,3,4,,2.712,0,Band 1 – Low,0–2 yrs,26–35,Far (26–50 km),9–12 yrs,Medium Risk,Below Average,High,Fair,N/A (Still Employed),Male,Single
526,6,6,2,58,8,4,141,4,2011,13,5,4,,1.908,0,Band 2 – Mid-Low,6–10 yrs,55+,Near (≤10 km),12+ yrs,Low Risk,Good,High,Excellent,N/A (Still Employed),Male,Single
527,6,4,2,53,11,33,200,4,2011,13,1,5,,2.666,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),12+ yrs,Medium Risk,Good,Very High,Very Poor,N/A (Still Employed),Female,Single
528,6,5,1,31,11,28,15,3,2017,7,5,5,,1.556,0,Band 3 – Mid-High,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Low Risk,Average,Very High,Excellent,N/A (Still Employed),Female,Married
529,1,6,2,27,8,42,87,4,2013,11,5,5,,1.584,0,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Low Risk,Good,Very High,Excellent,N/A (Still Employed),Male,Married
530,6,1,3,54,7,4,80,2,2010,14,1,2,,3.958,0,Band 1 – Low,6–10 yrs,46–55,Near (≤10 km),12+ yrs,High Risk,Below Average,Low,Very Poor,N/A (Still Employed),Female,Married
531,1,4,1,26,18,20,127,2,2019,5,4,4,,2.19,0,Band 4 – High,11–20 yrs,26–35,Medium (11–25 km),3–5 yrs,Low Risk,Below Average,High,Good,N/A (Still Employed),Male,Divorced
532,1,4,1,28,2,8,61,3,2018,6,4,2,,2.616,0,Band 1 – Low,0–2 yrs,26–35,Near (≤10 km),6–8 yrs,Medium Risk,Average,Low,Good,N/A (Still Employed),Male,Married
533,5,4,2,38,8,18,35,1,2015,9,1,5,,3.036,0,Band 1 – Low,6–10 yrs,36–45,Medium (11–25 km),9–12 yrs,High Risk,Needs Improvement,Very High,Very Poor,N/A (Still Employed),Male,Single
534,3,4,1,36,8,24,77,2,2010,14,3,5,,2.598,0,Band 2 – Mid-Low,6–10 yrs,36–45,Medium (11–25 km),12+ yrs,Medium Risk,Below Average,Very High,Fair,N/A (Still Employed),Male,Married
535,2,2,3,51,20,18,177,5,2013,11,4,4,,1.886,0,Band 4 – High,11–20 yrs,46–55,Medium (11–25 km),9–12 yrs,Low Risk,Outstanding,High,Good,N/A (Still Employed),Female,Married
536,3,6,3,40,13,23,157,5,2023,1,1,5,,1.846,0,Band 4 – High,11–20 yrs,36–45,Medium (11–25 km),0–2 yrs,Low Risk,Outstanding,Very High,Very Poor,N/A (Still Employed),Male,Single
537,5,1,3,38,17,46,130,1,2014,10,3,4,,2.942,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,Medium Risk,Needs Improvement,High,Fair,N/A (Still Employed),Female,Married
538,4,5,1,51,11,27,106,1,2024,0,4,3,,2.454,0,Band 2 – Mid-Low,11–20 yrs,46–55,Far (26–50 km),0–2 yrs,Medium Risk,Needs Improvement,Neutral,Good,N/A (Still Employed),Female,Married
539,1,4,3,25,6,16,84,3,2023,1,5,3,,1.832,0,Band 2 – Mid-Low,6–10 yrs,18–25,Medium (11–25 km),0–2 yrs,Low Risk,Average,Neutral,Excellent,N/A (Still Employed),Male,Single
540,6,5,1,28,15,21,119,3,2014,10,4,3,1.0,2.542,0,Band 3 – Mid-High,11–20 yrs,26–35,Medium (11–25 km),9–12 yrs,Medium Risk,Average,Neutral,Good,High Dissatisfaction,Male,Single
541,6,3,2,33,1,4,33,4,2016,8,4,4,,1.908,0,Band 1 – Low,0–2 yrs,26–35,Near (≤10 km),6–8 yrs,Low Risk,Good,High,Good,N/A (Still Employed),Female,Divorced
542,4,6,1,24,3,12,66,5,2021,3,1,3,,2.524,0,Band 2 – Mid-Low,3–5 yrs,18–25,Medium (11–25 km),3–5 yrs,Medium Risk,Outstanding,Neutral,Very Poor,N/A (Still Employed),Male,Married
543,5,6,3,40,16,3,114,5,2015,9,1,3,,2.806,0,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),9–12 yrs,Medium Risk,Outstanding,Neutral,Very Poor,N/A (Still Employed),Male,Married
544,5,4,3,45,3,1,153,5,2011,13,2,2,,3.052,0,Band 2 – Mid-Low,3–5 yrs,36–45,Near (≤10 km),12+ yrs,High Risk,Outstanding,Low,Poor,N/A (Still Employed),Male,Divorced
545,2,4,2,42,7,4,81,1,2023,1,3,3,,2.708,0,Band 1 – Low,6–10 yrs,36–45,Near (≤10 km),0–2 yrs,Medium Risk,Needs Improvement,Neutral,Fair,N/A (Still Employed),Female,Single
546,1,6,1,49,2,43,133,2,2023,1,5,5,4.0,1.486,1,Band 1 – Low,0–2 yrs,46–55,Far (26–50 km),0–2 yrs,Low Risk,Below Average,Very High,Excellent,Low Dissatisfaction,Female,Married
547,4,5,3,29,5,48,82,5,2012,12,1,3,,3.046,0,Band 2 – Mid-Low,3–5 yrs,26–35,Far (26–50 km),9–12 yrs,High Risk,Outstanding,Neutral,Very Poor,N/A (Still Employed),Male,Married
548,4,1,3,28,7,21,189,3,2014,10,2,1,,3.642,0,Band 2 – Mid-Low,6–10 yrs,26–35,Medium (11–25 km),9–12 yrs,High Risk,Average,Very Low,Poor,N/A (Still Employed),Female,Divorced
549,4,3,3,24,5,14,146,1,2011,13,3,2,,3.628,0,Band 1 – Low,3–5 yrs,18–25,Medium (11–25 km),12+ yrs,High Risk,Needs Improvement,Low,Fair,N/A (Still Employed),Male,Married
550,1,6,2,22,3,19,139,2,2018,6,4,3,,2.538,0,Band 1 – Low,3–5 yrs,18–25,Medium (11–25 km),6–8 yrs,Medium Risk,Below Average,Neutral,Good,N/A (Still Employed),Male,Single
551,1,1,1,30,6,31,72,5,2019,5,3,2,,2.462,0,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),3–5 yrs,Medium Risk,Outstanding,Low,Fair,N/A (Still Employed),Female,Single
552,1,5,1,32,19,18,107,1,2013,11,2,5,,2.886,0,Band 4 – High,11–20 yrs,26–35,Medium (11–25 km),9–12 yrs,Medium Risk,Needs Improvement,Very High,Poor,N/A (Still Employed),Female,Married
553,1,2,2,43,18,39,14,5,2023,1,2,5,,1.628,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Low Risk,Outstanding,Very High,Poor,N/A (Still Employed),Female,Single
554,3,4,3,44,7,7,137,1,2018,6,4,2,,3.014,0,Band 1 – Low,6–10 yrs,36–45,Near (≤10 km),6–8 yrs,High Risk,Needs Improvement,Low,Good,N/A (Still Employed),Male,Married
555,4,2,3,50,8,28,196,5,2024,0,2,1,,2.756,0,Band 3 – Mid-High,6–10 yrs,46–55,Far (26–50 km),0–2 yrs,Medium Risk,Outstanding,Very Low,Poor,N/A (Still Employed),Non-Binary / Other,Single
556,3,6,1,39,17,12,110,5,2019,5,3,5,4.0,1.524,1,Band 4 – High,11–20 yrs,36–45,Medium (11–25 km),3–5 yrs,Low Risk,Outstanding,Very High,Fair,Low Dissatisfaction,Non-Binary / Other,Single
557,2,5,2,27,3,17,105,2,2018,6,1,4,4.0,2.984,1,Band 1 – Low,3–5 yrs,26–35,Medium (11–25 km),6–8 yrs,High Risk,Below Average,High,Very Poor,Low Dissatisfaction,Male,Single
558,4,5,2,45,14,32,149,2,2014,10,3,5,,2.414,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,Medium Risk,Below Average,Very High,Fair,N/A (Still Employed),Male,Single
559,1,5,3,43,15,24,192,3,2016,8,1,3,,3.198,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),6–8 yrs,High Risk,Average,Neutral,Very Poor,N/A (Still Employed),Non-Binary / Other,Married
560,5,5,2,33,10,22,37,1,2019,5,4,1,,3.294,0,Band 2 – Mid-Low,6–10 yrs,26–35,Medium (11–25 km),3–5 yrs,High Risk,Needs Improvement,Very Low,Good,N/A (Still Employed),Female,Married
561,5,6,3,29,6,20,125,2,2010,14,4,5,2.0,2.34,0,Band 1 – Low,6–10 yrs,26–35,Medium (11–25 km),12+ yrs,Low Risk,Below Average,Very High,Good,High Dissatisfaction,Male,Married
562,1,4,1,47,7,8,67,1,2018,6,2,2,,3.516,0,Band 1 – Low,6–10 yrs,46–55,Near (≤10 km),6–8 yrs,High Risk,Needs Improvement,Low,Poor,N/A (Still Employed),Female,Married
563,1,2,3,47,8,7,157,3,2021,3,3,3,,2.414,0,Band 2 – Mid-Low,6–10 yrs,46–55,Near (≤10 km),3–5 yrs,Medium Risk,Average,Neutral,Fair,N/A (Still Employed),Female,Divorced
564,3,3,3,51,14,43,16,2,2024,0,3,5,,1.936,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),0–2 yrs,Low Risk,Below Average,Very High,Fair,N/A (Still Employed),Male,Divorced
565,1,4,3,39,6,1,111,2,2011,13,3,2,,3.402,0,Band 1 – Low,6–10 yrs,36–45,Near (≤10 km),12+ yrs,High Risk,Below Average,Low,Fair,N/A (Still Employed),Female,Married
566,4,5,3,46,20,44,69,1,2019,5,4,4,,2.438,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),3–5 yrs,Medium Risk,Needs Improvement,High,Good,N/A (Still Employed),Female,Single
567,6,6,3,52,8,36,124,2,2017,7,3,3,,2.872,0,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),6–8 yrs,Medium Risk,Below Average,Neutral,Fair,N/A (Still Employed),Female,Divorced
568,4,5,3,48,10,50,104,3,2024,0,4,5,,1.5,0,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),0–2 yrs,Low Risk,Average,Very High,Good,N/A (Still Employed),Female,Divorced
569,5,4,2,32,10,9,132,3,2024,0,3,1,,2.868,0,Band 2 – Mid-Low,6–10 yrs,26–35,Near (≤10 km),0–2 yrs,Medium Risk,Average,Very Low,Fair,N/A (Still Employed),Male,Single
570,2,2,1,29,19,22,154,4,2014,10,5,4,,1.794,0,Band 4 – High,11–20 yrs,26–35,Medium (11–25 km),9–12 yrs,Low Risk,Good,High,Excellent,N/A (Still Employed),Male,Married
571,4,2,1,30,15,24,37,2,2020,4,3,5,,2.098,0,Band 3 – Mid-High,11–20 yrs,26–35,Medium (11–25 km),3–5 yrs,Low Risk,Below Average,Very High,Fair,N/A (Still Employed),Male,Single
572,1,1,1,25,7,48,174,1,2010,14,5,4,,2.646,0,Band 1 – Low,6–10 yrs,18–25,Far (26–50 km),12+ yrs,Medium Risk,Needs Improvement,High,Excellent,N/A (Still Employed),Female,Married
573,4,1,1,32,9,24,89,3,2010,14,1,4,,3.198,0,Band 2 – Mid-Low,6–10 yrs,26–35,Medium (11–25 km),12+ yrs,High Risk,Average,High,Very Poor,N/A (Still Employed),Female,Single
574,4,6,3,28,16,48,95,5,2015,9,2,5,,2.046,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),9–12 yrs,Low Risk,Outstanding,Very High,Poor,N/A (Still Employed),Male,Single
575,3,1,3,48,3,50,46,3,2016,8,2,4,,2.7,0,Band 1 – Low,3–5 yrs,46–55,Far (26–50 km),6–8 yrs,Medium Risk,Average,High,Poor,N/A (Still Employed),Non-Binary / Other,Divorced
576,6,5,3,59,12,38,171,4,2014,10,5,1,,2.726,0,Band 3 – Mid-High,11–20 yrs,55+,Far (26–50 km),9–12 yrs,Medium Risk,Good,Very Low,Excellent,N/A (Still Employed),Male,Single
577,5,4,2,52,13,34,31,4,2013,11,3,2,,2.968,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Good,Low,Fair,N/A (Still Employed),Female,Married
578,4,6,3,58,13,39,34,4,2015,9,1,1,,3.678,0,Band 3 – Mid-High,11–20 yrs,55+,Far (26–50 km),9–12 yrs,High Risk,Good,Very Low,Very Poor,N/A (Still Employed),Male,Single
579,5,6,3,50,6,24,153,5,2024,0,2,5,,1.548,0,Band 2 – Mid-Low,6–10 yrs,46–55,Medium (11–25 km),0–2 yrs,Low Risk,Outstanding,Very High,Poor,N/A (Still Employed),Female,Married
580,2,4,2,33,16,16,53,4,2022,2,3,4,5.0,1.882,0,Band 4 – High,11–20 yrs,26–35,Medium (11–25 km),0–2 yrs,Low Risk,Good,High,Fair,Low Dissatisfaction,Non-Binary / Other,Single
581,4,1,2,46,15,42,63,2,2010,14,5,5,4.0,2.134,1,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),12+ yrs,Low Risk,Below Average,Very High,Excellent,Low Dissatisfaction,Female,Divorced
582,6,2,3,44,14,18,135,3,2012,12,3,1,,3.486,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),9–12 yrs,High Risk,Average,Very Low,Fair,N/A (Still Employed),Male,Married
583,5,1,3,23,17,14,161,2,2013,11,3,3,,3.028,0,Band 4 – High,11–20 yrs,18–25,Medium (11–25 km),9–12 yrs,High Risk,Below Average,Neutral,Fair,N/A (Still Employed),Female,Married
584,6,4,1,30,20,38,73,2,2018,6,3,4,,2.526,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Medium Risk,Below Average,High,Fair,N/A (Still Employed),Male,Single
585,6,5,3,52,14,25,31,3,2023,1,2,2,,2.9,0,Band 3 – Mid-High,11–20 yrs,46–55,Medium (11–25 km),0–2 yrs,Medium Risk,Average,Low,Poor,N/A (Still Employed),Female,Divorced
586,6,1,3,53,5,6,46,4,2021,3,5,1,,2.312,0,Band 2 – Mid-Low,3–5 yrs,46–55,Near (≤10 km),3–5 yrs,Low Risk,Good,Very Low,Excellent,N/A (Still Employed),Male,Divorced
587,6,6,3,29,16,7,113,1,2015,9,3,3,,3.114,0,Band 3 – Mid-High,11–20 yrs,26–35,Near (≤10 km),9–12 yrs,High Risk,Needs Improvement,Neutral,Fair,N/A (Still Employed),Male,Divorced
588,5,3,2,48,1,9,167,5,2024,0,4,1,,2.218,0,Band 1 – Low,0–2 yrs,46–55,Near (≤10 km),0–2 yrs,Low Risk,Outstanding,Very Low,Good,N/A (Still Employed),Female,Married
589,5,3,2,50,13,41,131,5,2022,2,4,3,,1.782,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),0–2 yrs,Low Risk,Outstanding,Neutral,Good,N/A (Still Employed),Non-Binary / Other,Married
590,3,2,3,24,14,48,143,3,2020,4,3,5,,1.946,0,Band 3 – Mid-High,11–20 yrs,18–25,Far (26–50 km),3–5 yrs,Low Risk,Average,Very High,Fair,N/A (Still Employed),Male,Divorced
591,6,4,1,26,3,39,195,2,2024,0,2,3,,2.778,0,Band 1 – Low,3–5 yrs,26–35,Far (26–50 km),0–2 yrs,Medium Risk,Below Average,Neutral,Poor,N/A (Still Employed),Male,Divorced
592,3,5,2,38,10,8,155,2,2024,0,2,1,,3.316,0,Band 2 – Mid-Low,6–10 yrs,36–45,Near (≤10 km),0–2 yrs,High Risk,Below Average,Very Low,Poor,N/A (Still Employed),Male,Married
593,4,6,3,42,20,3,69,4,2010,14,2,5,,2.406,0,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),12+ yrs,Medium Risk,Good,Very High,Poor,N/A (Still Employed),Male,Single
594,4,3,1,22,18,38,25,4,2013,11,5,4,,1.876,0,Band 4 – High,11–20 yrs,18–25,Far (26–50 km),9–12 yrs,Low Risk,Good,High,Excellent,N/A (Still Employed),Female,Divorced
595,3,1,3,55,5,42,136,4,2017,7,3,4,,2.184,0,Band 2 – Mid-Low,3–5 yrs,46–55,Far (26–50 km),6–8 yrs,Low Risk,Good,High,Fair,N/A (Still Employed),Male,Single
596,1,6,3,58,18,13,74,4,2011,13,4,2,,2.776,0,Band 4 – High,11–20 yrs,55+,Medium (11–25 km),12+ yrs,Medium Risk,Good,Low,Good,N/A (Still Employed),Female,Single
597,6,5,3,58,6,13,115,5,2022,2,3,4,,1.676,0,Band 2 – Mid-Low,6–10 yrs,55+,Medium (11–25 km),0–2 yrs,Low Risk,Outstanding,High,Fair,N/A (Still Employed),Female,Married
598,6,4,3,36,9,46,89,3,2019,5,2,2,,3.142,0,Band 2 – Mid-Low,6–10 yrs,36–45,Far (26–50 km),3–5 yrs,High Risk,Average,Low,Poor,N/A (Still Employed),Male,Divorced
599,4,6,2,43,13,29,199,3,2024,0,1,4,,2.508,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Medium Risk,Average,High,Very Poor,N/A (Still Employed),Female,Divorced
600,5,6,1,55,15,7,96,5,2019,5,2,3,,2.364,0,Band 4 – High,11–20 yrs,46–55,Near (≤10 km),3–5 yrs,Medium Risk,Outstanding,Neutral,Poor,N/A (Still Employed),Male,Married
601,3,1,3,55,10,5,48,1,2021,3,5,5,,1.71,0,Band 2 – Mid-Low,6–10 yrs,46–55,Near (≤10 km),3–5 yrs,Low Risk,Needs Improvement,Very High,Excellent,N/A (Still Employed),Non-Binary / Other,Married
602,6,5,3,28,15,35,19,5,2023,1,3,3,2.0,1.97,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Low Risk,Outstanding,Neutral,Fair,High Dissatisfaction,Male,Single
603,4,4,3,49,10,40,92,4,2022,2,2,3,4.0,2.48,0,Band 3 – Mid-High,6–10 yrs,46–55,Far (26–50 km),0–2 yrs,Medium Risk,Good,Neutral,Poor,Low Dissatisfaction,Male,Divorced
604,6,6,2,37,13,22,186,4,2022,2,5,2,,1.994,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),0–2 yrs,Low Risk,Good,Low,Excellent,N/A (Still Employed),Female,Married
605,5,5,2,52,18,20,154,2,2010,14,1,5,,3.09,0,Band 4 – High,11–20 yrs,46–55,Medium (11–25 km),12+ yrs,High Risk,Below Average,Very High,Very Poor,N/A (Still Employed),Male,Married
606,3,6,1,44,20,47,163,5,2015,9,3,5,,1.794,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,Low Risk,Outstanding,Very High,Fair,N/A (Still Employed),Female,Divorced
607,1,3,3,46,16,31,114,3,2011,13,3,4,,2.662,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),12+ yrs,Medium Risk,Average,High,Fair,N/A (Still Employed),Female,Single
608,2,3,1,31,3,49,11,3,2016,8,5,2,1.0,2.548,0,Band 1 – Low,3–5 yrs,26–35,Far (26–50 km),6–8 yrs,Medium Risk,Average,Low,Excellent,High Dissatisfaction,Female,Divorced
609,4,4,3,57,11,13,78,1,2019,5,5,5,,1.826,0,Band 2 – Mid-Low,11–20 yrs,55+,Medium (11–25 km),3–5 yrs,Low Risk,Needs Improvement,Very High,Excellent,N/A (Still Employed),Female,Single
610,4,3,3,25,5,35,186,4,2021,3,4,5,,1.42,0,Band 2 – Mid-Low,3–5 yrs,18–25,Far (26–50 km),3–5 yrs,Low Risk,Good,Very High,Good,N/A (Still Employed),Female,Married
611,2,4,3,22,16,47,63,2,2019,5,4,3,,2.544,0,Band 3 – Mid-High,11–20 yrs,18–25,Far (26–50 km),3–5 yrs,Medium Risk,Below Average,Neutral,Good,N/A (Still Employed),Female,Married
612,2,6,3,32,7,10,153,1,2024,0,5,1,,2.77,0,Band 1 – Low,6–10 yrs,26–35,Near (≤10 km),0–2 yrs,Medium Risk,Needs Improvement,Very Low,Excellent,N/A (Still Employed),Female,Single
613,4,2,3,54,5,3,135,5,2011,13,2,5,,2.156,0,Band 2 – Mid-Low,3–5 yrs,46–55,Near (≤10 km),12+ yrs,Low Risk,Outstanding,Very High,Poor,N/A (Still Employed),Female,Divorced
614,1,3,2,52,7,9,149,3,2024,0,3,1,,2.868,0,Band 2 – Mid-Low,6–10 yrs,46–55,Near (≤10 km),0–2 yrs,Medium Risk,Average,Very Low,Fair,N/A (Still Employed),Female,Single
615,4,5,1,53,1,13,137,5,2018,6,2,3,,2.426,0,Band 1 – Low,0–2 yrs,46–55,Medium (11–25 km),6–8 yrs,Medium Risk,Outstanding,Neutral,Poor,N/A (Still Employed),Female,Divorced
616,2,5,1,32,1,27,90,4,2017,7,5,5,,1.354,0,Band 1 – Low,0–2 yrs,26–35,Far (26–50 km),6–8 yrs,Low Risk,Good,Very High,Excellent,N/A (Still Employed),Male,Married
617,6,4,2,26,17,36,176,3,2012,12,5,1,,3.022,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),9–12 yrs,High Risk,Average,Very Low,Excellent,N/A (Still Employed),Female,Married
618,3,2,3,53,12,46,70,5,2014,10,3,1,,3.042,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Outstanding,Very Low,Fair,N/A (Still Employed),Male,Married
619,5,6,1,42,16,17,92,5,2021,3,5,5,,0.934,0,Band 4 – High,11–20 yrs,36–45,Medium (11–25 km),3–5 yrs,Low Risk,Outstanding,Very High,Excellent,N/A (Still Employed),Female,Single
620,6,1,2,37,13,49,128,3,2010,14,3,1,,3.648,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),12+ yrs,High Risk,Average,Very Low,Fair,N/A (Still Employed),Non-Binary / Other,Single
621,1,5,3,43,14,36,191,4,2011,13,4,5,,1.922,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),12+ yrs,Low Risk,Good,Very High,Good,N/A (Still Employed),Male,Divorced
622,4,2,2,39,13,23,133,1,2010,14,4,4,,2.846,0,Band 2 – Mid-Low,11–20 yrs,36–45,Medium (11–25 km),12+ yrs,Medium Risk,Needs Improvement,High,Good,N/A (Still Employed),Male,Single
623,5,5,1,25,12,24,141,1,2017,7,2,2,2.0,3.598,0,Band 2 – Mid-Low,11–20 yrs,18–25,Medium (11–25 km),6–8 yrs,High Risk,Needs Improvement,Low,Poor,High Dissatisfaction,Female,Divorced
624,4,4,1,54,13,29,152,2,2018,6,5,2,,2.608,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,Medium Risk,Below Average,Low,Excellent,N/A (Still Employed),Female,Single
